"identifier"	"chemical_formula"	"description"	"mass_to_charge"	"fragmentation"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"modifications"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"Ex1-Col0-48h-Ag-1"	"Ex1-Col0-48h-Ag-2"	"Ex1-Col0-48h-Ag-3"	"Ex1-Col0-48h-Ag-4"	"Ex1-cyp79-48h-Ag-1"	"Ex1-cyp79-48h-Ag-2"	"Ex1-cyp79-48h-Ag-3"	"Ex1-cyp79-48h-Ag-4"	"Ex2-Col0-48h-Ag-1"	"Ex2-Col0-48h-Ag-2"	"Ex2-Col0-48h-Ag-3"	"Ex2-Col0-48h-Ag-4"	"Ex2-cyp79-48h-Ag-1"	"Ex2-cyp79-48h-Ag-2"	"Ex2-cyp79-48h-Ag-3"	"Ex2-cyp79-48h-Ag-4"
""	""	""	" 131.04892"	""	""	"  74.26350"	""	""	""	""	""	""	""	""	""	""	""	""	"  11929.4560"	"   7073.5202"	"  10382.3108"	"  11938.6198"	"  21496.6335"	"  22133.5184"	"  23105.0910"	"  22029.4103"	"   6157.3776"	"  11850.9514"	"  11172.3397"	"  10301.1516"	"  16043.4435"	"  15785.3604"	"  17076.6105"	"  17156.8518"
""	""	""	" 131.12928"	""	""	"  22.48152"	""	""	""	""	""	""	""	""	""	""	""	""	" 107976.9090"	" 104632.2190"	" 105694.4449"	" 105357.4878"	"  69813.2079"	"  70715.4595"	"  67531.7123"	"  65253.9879"	" 101860.0768"	" 102464.1904"	" 103060.5914"	" 103449.5817"	"  78289.4956"	"  76215.2805"	"  81701.4235"	"  76755.1146"
""	""	""	" 132.10206"	""	" 1"	"  45.29298"	""	""	""	""	""	""	""	""	""	""	""	""	" 438818.1270"	" 423675.2957"	" 452287.8537"	" 431579.3524"	" 819704.3186"	" 817718.7810"	" 851028.1354"	" 896810.0518"	" 370807.0026"	" 392284.2472"	" 371771.7464"	" 351230.9593"	" 487102.3643"	" 527458.5968"	" 495253.9512"	" 497902.7660"
""	""	""	" 132.99808"	""	""	"  21.13350"	""	""	""	""	""	""	""	""	""	""	""	""	"   7935.6014"	"   7431.7423"	"   5317.8734"	"   6917.5352"	"   8555.0132"	"   7606.5711"	"   7010.2705"	"   6961.2606"	"   7650.0752"	"   8040.9290"	"   7657.9288"	"   9988.1343"	"   7403.0530"	"   7197.9618"	"   7955.2227"	"   6849.4950"
""	""	""	" 133.10499"	""	" 1"	"  45.28248"	""	""	""	""	""	""	""	""	""	""	""	""	"  30489.3670"	"  32853.0235"	"  33015.3487"	"  32328.3599"	"  62682.2557"	"  63994.2331"	"  63879.4545"	"  65941.9753"	"  26404.0363"	"  26974.3485"	"  26567.1058"	"  25508.8777"	"  36254.2804"	"  37988.9955"	"  37155.2037"	"  37251.8364"
""	""	""	" 133.10155"	""	""	" 481.11780"	""	""	""	""	""	""	""	""	""	""	""	""	"   2035.8091"	"   2342.9948"	"   1862.3380"	"   2211.7318"	"   2623.2122"	"   2360.2131"	"   2307.5044"	"   2528.8959"	"   2780.4051"	"   3423.9088"	"   3442.9136"	"   2773.0845"	"   3943.3425"	"   3772.5046"	"   3252.9524"	"   3542.2608"
""	""	""	" 133.06428"	""	""	" 257.78700"	""	""	""	""	""	""	""	""	""	""	""	""	"    523.4760"	"   3063.9700"	"   3717.2644"	"   3860.9464"	"  10294.3659"	"   9528.4620"	"  11082.7599"	"   8981.9977"	"    936.7997"	"   1707.1920"	"   1178.0265"	"   1988.7207"	"   3128.9997"	"   3172.0501"	"   3563.7672"	"   2585.9461"
""	""	""	" 135.08042"	""	""	" 948.37200"	""	""	""	""	""	""	""	""	""	""	""	""	"   5058.7614"	"   5240.4866"	"   5374.9844"	"   5461.8474"	"   3052.5994"	"   3387.1041"	"   2957.2878"	"   2663.0068"	"   2980.3763"	"   3555.9344"	"   3012.1708"	"   3118.0944"	"   1394.6358"	"   1242.4878"	"   1321.5706"	"    626.2729"
""	""	""	" 135.10178"	""	""	" 141.58620"	""	""	""	""	""	""	""	""	""	""	""	""	"    774.2715"	"   1309.6006"	"    329.3364"	"    775.1755"	"    319.2341"	"    773.6296"	"    144.8092"	"    309.5008"	"  16607.8365"	"  18929.2440"	"  17601.4466"	"  16271.5128"	"  18261.1373"	"  18727.9231"	"  16076.4744"	"  17771.4266"
""	""	""	" 136.07327"	""	" 1"	" 163.23750"	""	""	""	""	""	""	""	""	""	""	""	""	"   4771.9701"	"   5355.7936"	"   5558.8473"	"   4423.0934"	"   5192.9569"	"   5756.2227"	"   5366.2706"	"   5666.3232"	" 161690.6615"	" 151030.7083"	" 164585.7630"	" 166065.8748"	" 189146.7804"	" 203506.1070"	" 191873.1024"	" 193935.4429"
""	""	""	" 136.00833"	""	""	"  21.89451"	""	""	""	""	""	""	""	""	""	""	""	""	"   2063.8785"	"   1348.9092"	"   1439.2601"	"   2309.5623"	"   1693.2744"	"   2184.5303"	"   1889.2349"	"   2426.6205"	"   2015.0641"	"   2607.4704"	"   2866.2535"	"   4141.0496"	"   2349.3716"	"   1420.8824"	"   2925.1828"	"   2414.1607"
""	""	""	" 137.02346"	""	""	" 208.28280"	""	""	""	""	""	""	""	""	""	""	""	""	"  12729.8648"	"  12353.3671"	"  12604.9268"	"  13449.7712"	"  14856.0512"	"  14131.1742"	"  15512.0520"	"  14324.7981"	"   8398.6035"	"   7989.7305"	"   7763.7713"	"   8305.4023"	"   8960.5808"	"   8658.2708"	"   8119.7027"	"   8773.9450"
""	""	""	" 137.07551"	""	" 1"	" 163.20150"	""	""	""	""	""	""	""	""	""	""	""	""	"      0.0000"	"      0.0000"	"      0.0000"	"      0.0000"	"      0.0000"	"      0.0000"	"      0.0000"	"      0.0000"	"  11246.6578"	"   9314.0874"	"  10421.4914"	"  10657.6376"	"  11513.9118"	"   5120.0303"	"  11804.8576"	"  13854.0329"
""	""	""	" 139.03931"	""	""	" 275.84850"	""	""	""	""	""	""	""	""	""	""	""	""	"  11883.0376"	"  12145.0080"	"  10922.6769"	"  10221.3522"	"  17105.1203"	"  15298.8355"	"  16321.7494"	"  15545.1605"	"   8530.5406"	"   9828.9059"	"   8693.9509"	"   9319.8930"	"  16823.3565"	"  18686.3376"	"  17226.1963"	"  17939.9888"
""	""	""	" 139.03930"	""	""	" 196.81650"	""	""	""	""	""	""	""	""	""	""	""	""	" 145229.4990"	" 150976.7945"	" 144187.9312"	" 141971.2652"	" 182009.1355"	" 178548.2895"	" 199070.4834"	" 188578.8015"	" 128783.6042"	" 140125.8490"	" 127544.7696"	" 127092.9125"	" 171553.1213"	" 185211.1165"	" 182314.4295"	" 197836.1604"
""	""	""	" 139.07506"	""	""	" 322.80180"	""	""	""	""	""	""	""	""	""	""	""	""	"   1858.5233"	"   2546.6655"	"   2138.1123"	"   1873.8671"	"   1955.0330"	"   2332.1291"	"   2740.6754"	"   2323.2927"	"  22682.9877"	"  21754.8065"	"  21447.4367"	"  23100.7200"	"  22357.5060"	"  23261.4733"	"  20321.0083"	"  22385.1628"
""	""	""	" 141.52956"	""	""	" 400.15050"	""	""	""	""	""	""	""	""	""	""	""	""	"      0.0000"	"      0.0000"	"      0.0000"	"      0.0000"	"      0.0000"	"      0.0000"	"      0.0000"	"      0.0000"	"   6615.9585"	"   5824.0856"	"   5766.6839"	"   5841.6383"	"   7446.0395"	"   6819.2847"	"   7597.9495"	"   8227.4577"
""	""	""	" 143.06021"	""	""	" 579.53850"	""	""	""	""	""	""	""	""	""	""	""	""	"      0.0000"	"    740.9887"	"    294.1137"	"    671.1048"	"      0.0000"	"      0.0000"	"      0.0000"	"      0.0000"	"   1897.1794"	"   2268.6848"	"   2047.5070"	"   2357.4353"	"      0.0000"	"    151.6050"	"      0.0000"	"      0.0000"
""	""	""	" 143.99687"	""	" 1"	"  21.13452"	""	""	""	""	""	""	""	""	""	""	""	""	"  44935.1065"	"  49349.0377"	"  46625.0580"	"  48086.1464"	"  44091.0519"	"  47976.2371"	"  46775.9694"	"  49169.8923"	"  50728.4666"	"  55141.8186"	"  54440.0153"	"  54206.7408"	"  55112.7415"	"  55522.6665"	"  51392.2619"	"  52315.0567"
""	""	""	" 144.10170"	""	""	"  42.46752"	""	""	""	""	""	""	""	""	""	""	""	""	"   4019.5204"	"   3161.9121"	"   3471.5300"	"   3918.5134"	"   6759.3718"	"   6280.6901"	"   5850.8686"	"   5842.6361"	"   1759.6287"	"   2371.8736"	"   1800.0593"	"   1742.8401"	"   3973.9037"	"   3783.4906"	"   3756.0782"	"   3788.8348"
