"identifier"	"chemical_formula"	"description"	"mass_to_charge"	"fragmentation"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"modifications"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"Ex1-Col0-48h-Ag-1"	"Ex1-Col0-48h-Ag-2"	"Ex1-Col0-48h-Ag-3"	"Ex1-Col0-48h-Ag-4"	"Ex1-cyp79-48h-Ag-1"	"Ex1-cyp79-48h-Ag-2"	"Ex1-cyp79-48h-Ag-3"	"Ex1-cyp79-48h-Ag-4"	"Ex2-Col0-48h-Ag-1"	"Ex2-Col0-48h-Ag-2"	"Ex2-Col0-48h-Ag-3"	"Ex2-Col0-48h-Ag-4"	"Ex2-cyp79-48h-Ag-1"	"Ex2-cyp79-48h-Ag-2"	"Ex2-cyp79-48h-Ag-3"	"Ex2-cyp79-48h-Ag-4"
""	""	""	" 116.0709"	""	""	" 29.47251"	""	""	""	""	""	""	""	""	""	""	""	""	"  13260.2047"	"  12059.1027"	"  11712.2756"	"  10757.1420"	"   9192.8308"	"  10314.4930"	"   9425.5633"	"   7428.4140"	"  10256.2478"	"   9132.8865"	"   9434.4192"	"  10309.6684"	"   7545.2205"	"   6329.4873"	"   7552.7179"	"   7173.2166"
""	""	""	" 118.0863"	""	""	" 38.12550"	""	""	""	""	""	""	""	""	""	""	""	""	"  34493.2901"	"  32768.4381"	"  33354.5587"	"  58010.5883"	"  48961.4269"	"  56904.2683"	"  44607.7068"	"  50166.6013"	"  54469.5717"	"  31472.5380"	"  36730.2693"	"  53092.9989"	"  37299.7679"	"  58713.1825"	"  40930.5644"	"  36344.2445"
""	""	""	" 118.0651"	""	""	"299.41950"	""	""	""	""	""	""	""	""	""	""	""	""	"   6644.4926"	"   7048.1230"	"   7370.3067"	"   7723.5860"	"      0.0000"	"      0.0000"	"      0.0000"	"      0.0000"	"   7321.3241"	"   8558.6789"	"   7797.7620"	"   7858.1178"	"      0.0000"	"      0.0000"	"      0.0000"	"      0.0000"
""	""	""	" 119.1067"	""	""	"296.55810"	""	""	""	""	""	""	""	""	""	""	""	""	"  11174.3504"	"  10910.0647"	"  11382.5786"	"  11274.6628"	"  12435.1200"	"  10041.3153"	"  12083.4160"	"  10419.9295"	"  28992.9412"	"  31240.8259"	"  26965.1481"	"  28635.8121"	"  30779.8879"	"  30153.9845"	"  29223.3138"	"  31695.2849"
""	""	""	" 119.0493"	""	""	"416.96640"	""	""	""	""	""	""	""	""	""	""	""	""	"   5307.1818"	"   6304.2967"	"   6814.1953"	"   6981.3489"	"   6862.4953"	"   5360.0498"	"   6662.4363"	"   7574.3884"	"   7272.7898"	"   4885.4546"	"   7959.0863"	"   7089.1521"	"   5237.8620"	"   6836.8426"	"   5620.3784"	"   6874.5064"
""	""	""	" 120.0809"	""	" 1"	" 73.98420"	""	""	""	""	""	""	""	""	""	""	""	""	" 347295.6630"	" 346375.8129"	" 325961.8770"	" 327836.5458"	" 959817.0939"	" 953874.5228"	" 915108.1183"	" 905763.0329"	" 269765.0402"	" 293475.2678"	" 276279.5339"	" 279785.5864"	" 662485.5980"	" 661428.8584"	" 684723.4799"	" 662105.9340"
""	""	""	" 121.0284"	""	""	"275.98320"	""	""	""	""	""	""	""	""	""	""	""	""	"   5543.0039"	"   4968.0953"	"   5334.5545"	"   5097.5096"	"   8621.9992"	"   7525.9010"	"   7542.3425"	"   8192.4039"	"   4675.8944"	"   4611.1288"	"   4314.1294"	"   4644.1352"	"   8336.5854"	"   9155.4668"	"   7492.1838"	"   9826.6068"
""	""	""	" 121.0286"	""	" 1"	"196.84590"	""	""	""	""	""	""	""	""	""	""	""	""	"  55976.6698"	"  50080.2073"	"  53810.9786"	"  52689.8283"	"  71392.5064"	"  67725.2074"	"  68800.0250"	"  67768.7175"	"  47274.8874"	"  46999.5184"	"  42691.7387"	"  44537.7894"	"  67356.6598"	"  67388.8224"	"  65439.5551"	"  64844.8228"
""	""	""	" 121.0839"	""	" 1"	" 74.12310"	""	""	""	""	""	""	""	""	""	""	""	""	"  30395.1425"	"  29516.6592"	"  30073.1220"	"  30625.6219"	"  82713.0184"	"  81309.9502"	"  82535.8833"	"  79460.4823"	"  24947.4502"	"  26750.7222"	"  26061.3938"	"  26898.2167"	"  62818.8784"	"  62846.1563"	"  66803.0003"	"  63982.1705"
""	""	""	" 121.0684"	""	""	"243.97800"	""	""	""	""	""	""	""	""	""	""	""	""	"    205.3870"	"   2206.0764"	"   1344.7227"	"   1841.4954"	"   3074.5913"	"   3527.8875"	"   2190.0167"	"   3499.5004"	"   1793.2870"	"   3640.8575"	"   2650.8960"	"   1939.0065"	"   3287.0460"	"   2819.0198"	"   3236.2983"	"   3501.4720"
""	""	""	" 121.1010"	""	""	"947.80800"	""	""	""	""	""	""	""	""	""	""	""	""	"   3114.9609"	"   3147.0619"	"   3123.9508"	"   2452.9144"	"    573.0545"	"   2016.0848"	"   1246.5644"	"    881.9290"	"   1455.5597"	"   1639.1308"	"   1487.6665"	"   1293.4567"	"    777.6687"	"    440.2015"	"    318.7085"	"    564.7233"
""	""	""	" 122.0320"	""	" 1"	"196.71960"	""	""	""	""	""	""	""	""	""	""	""	""	"   3465.8310"	"   3149.2878"	"   2376.7233"	"   2308.3188"	"   4444.2065"	"   4183.6083"	"   4759.2877"	"   4881.3873"	"   2822.8181"	"   2573.7802"	"   3055.0092"	"   2320.3602"	"   3109.5684"	"   4497.5188"	"   3302.1117"	"   4863.6802"
""	""	""	" 123.0445"	""	""	"394.86540"	""	""	""	""	""	""	""	""	""	""	""	""	"   4429.6209"	"   3438.5080"	"   3752.6256"	"   3684.5287"	"   4024.6342"	"   2860.2600"	"   3417.0902"	"   3683.3735"	"   9336.0570"	"   9682.4002"	"  10569.4810"	"   9980.2650"	"  10319.9324"	"   9421.5574"	"  10001.7120"	"   9922.1844"
""	""	""	" 123.0456"	""	""	" 41.24802"	""	""	""	""	""	""	""	""	""	""	""	""	"   1660.1775"	"   1801.1577"	"   2179.4460"	"   1605.1888"	"   3944.5094"	"   3776.5054"	"   3866.4122"	"   4007.9852"	"   1623.5842"	"   1323.7643"	"   1309.6207"	"   1436.2342"	"   3544.7426"	"   3573.3858"	"   3657.6589"	"   3873.1916"
""	""	""	" 123.1166"	""	""	"343.84650"	""	""	""	""	""	""	""	""	""	""	""	""	"   1217.7535"	"    933.2400"	"   1385.9944"	"   1027.8433"	"   1423.7837"	"   1734.4407"	"   1193.7609"	"   1098.2338"	"    942.3300"	"   1248.2210"	"   1951.9547"	"   1303.2367"	"   1469.8867"	"   1575.6000"	"   1865.1333"	"   1924.9647"
""	""	""	" 124.0393"	""	""	" 55.37598"	""	""	""	""	""	""	""	""	""	""	""	""	"   4910.5406"	"   4328.4183"	"   5019.8471"	"   5250.3251"	"  12285.7904"	"  12415.0108"	"  13062.2596"	"  13228.4150"	"   5903.9174"	"   5179.8230"	"   5131.4543"	"   4667.1557"	"   9047.9862"	"   8612.9353"	"   8625.5152"	"   9290.1191"
""	""	""	" 124.0756"	""	""	"467.70030"	""	""	""	""	""	""	""	""	""	""	""	""	"      0.0000"	"    985.8842"	"    804.9193"	"    782.0082"	"   2007.6085"	"   3790.5281"	"   2093.4032"	"   3520.8309"	"   2106.9726"	"   2597.6580"	"   1554.7651"	"   2304.4661"	"   3133.9946"	"   3499.1406"	"   2725.9714"	"   2728.8900"
""	""	""	" 125.9861"	""	""	" 21.29802"	""	""	""	""	""	""	""	""	""	""	""	""	"  34968.0197"	"  35525.2336"	"  32640.5040"	"  35251.7342"	"  32272.7730"	"  36331.4271"	"  35191.5239"	"  35361.8104"	"  37543.0283"	"  42342.1514"	"  39973.7319"	"  39200.9777"	"  41718.8770"	"  40722.8463"	"  38862.4866"	"  40396.9132"
""	""	""	" 127.0386"	""	""	"725.36100"	""	""	""	""	""	""	""	""	""	""	""	""	"   4850.7426"	"   5206.8723"	"   4784.7690"	"   5189.2843"	"   4181.7446"	"   4510.5120"	"   5112.0830"	"   4956.4728"	"  14757.2288"	"  16352.6425"	"  14785.1693"	"  15732.6231"	"  12889.5916"	"  14560.1402"	"  15352.6912"	"  13992.0062"
""	""	""	" 127.0388"	""	""	"314.94990"	""	""	""	""	""	""	""	""	""	""	""	""	"  14598.4484"	"  16205.5168"	"  14378.6417"	"  14327.5370"	"  14409.1958"	"  15006.3624"	"  15641.4917"	"  13595.5607"	"  25401.5494"	"  28251.5441"	"  24892.8511"	"  25327.3331"	"  30182.5391"	"  28476.7548"	"  26847.0155"	"  28681.2305"
""	""	""	" 127.0389"	""	""	"453.12870"	""	""	""	""	""	""	""	""	""	""	""	""	"  10549.3784"	"  10511.1912"	"  12185.2987"	"  10955.9557"	"  14404.2409"	"  14153.0136"	"  13900.1383"	"  14102.4194"	"  19319.9850"	"  18866.6917"	"  18627.3769"	"  18149.3434"	"  16423.7619"	"  18222.7567"	"  16151.2209"	"  17739.8865"
